Hour_sin,Hour_cos,Soil_Temp,Rainfall,Soil_Moisture
-1.0,-0.0,13.7,0.3,0.338
-0.9659,0.2588,14.6,0.0,0.338
-0.866,0.5,15.2,0.0,0.338
-0.7071,0.7071,16.2,0.3,0.337
-0.5,0.866,16.8,0.0,0.336
-0.2588,0.9659,17.0,0.0,0.336
0.0,1.0,16.1,0.0,0.334
0.2588,0.9659,14.7,0.0,0.334
0.5,0.866,13.0,0.0,0.335
0.7071,0.7071,12.2,0.0,0.335
0.866,0.5,11.9,0.0,0.335
0.9659,0.2588,11.7,0.0,0.335
1.0,0.0,11.4,0.0,0.335
0.9659,-0.2588,10.7,0.0,0.335
0.866,-0.5,11.6,0.0,0.335
0.7071,-0.7071,11.9,0.0,0.335
0.5,-0.866,12.0,0.0,0.335
0.2588,-0.9659,11.0,0.0,0.335
0.0,-1.0,11.0,0.0,0.336
-0.2588,-0.9659,10.3,0.0,0.335
-0.5,-0.866,10.2,0.0,0.335
-0.7071,-0.7071,9.8,0.0,0.335
-0.866,-0.5,10.2,0.0,0.335
-0.9659,-0.2588,11.4,0.0,0.335
-1.0,-0.0,13.0,0.0,0.335
-0.9659,0.2588,14.7,0.0,0.335
-0.866,0.5,16.1,0.0,0.334
-0.7071,0.7071,17.0,0.0,0.334
-0.5,0.866,17.4,0.0,0.333
-0.2588,0.9659,17.2,0.0,0.331
0.0,1.0,16.4,0.0,0.331
0.2588,0.9659,15.4,0.0,0.331
0.5,0.866,13.3,0.0,0.331
0.7071,0.7071,12.1,0.0,0.332
0.866,0.5,11.7,0.0,0.332
0.9659,0.2588,11.2,0.0,0.332
1.0,0.0,12.1,0.0,0.332
0.9659,-0.2588,12.5,0.0,0.332
0.866,-0.5,12.8,0.0,0.332
0.7071,-0.7071,12.9,0.0,0.332
0.5,-0.866,12.9,0.0,0.332
0.2588,-0.9659,13.0,0.0,0.332
0.0,-1.0,12.9,0.0,0.332
-0.2588,-0.9659,12.9,0.0,0.332
-0.5,-0.866,12.9,0.0,0.332
-0.7071,-0.7071,12.8,0.0,0.332
-0.866,-0.5,12.7,0.0,0.332
-0.9659,-0.2588,13.5,0.0,0.332
-1.0,-0.0,14.2,0.0,0.331
-0.9659,0.2588,15.3,0.0,0.331
-0.866,0.5,16.5,0.0,0.33
-0.7071,0.7071,17.5,0.0,0.329
-0.5,0.866,18.0,0.0,0.328
-0.2588,0.9659,17.6,0.0,0.326
0.0,1.0,16.3,0.0,0.326
0.2588,0.9659,15.0,0.0,0.325
0.5,0.866,13.9,0.0,0.326
0.7071,0.7071,12.4,0.0,0.326
0.866,0.5,11.7,0.0,0.326
0.9659,0.2588,11.2,0.0,0.327
1.0,0.0,10.7,0.0,0.327
0.9659,-0.2588,10.3,0.0,0.327
0.866,-0.5,10.1,0.0,0.327
0.7071,-0.7071,9.8,0.0,0.327
0.5,-0.866,9.6,0.0,0.327
0.2588,-0.9659,9.3,0.0,0.327
0.0,-1.0,9.1,0.0,0.327
-0.2588,-0.9659,8.8,0.0,0.327
-0.5,-0.866,8.7,0.0,0.328
-0.7071,-0.7071,8.6,0.0,0.328
-0.866,-0.5,9.2,0.0,0.328
-0.9659,-0.2588,10.7,0.0,0.328
-1.0,-0.0,12.3,0.3,0.327
-0.9659,0.2588,13.8,0.0,0.327
-0.866,0.5,15.5,0.0,0.327
-0.7071,0.7071,16.7,0.0,0.325
-0.5,0.866,16.9,0.0,0.323
-0.2588,0.9659,17.0,0.0,0.323
0.0,1.0,15.4,0.0,0.322
0.2588,0.9659,14.3,0.0,0.323
0.5,0.866,12.8,0.0,0.323
0.7071,0.7071,11.1,0.0,0.323
0.866,0.5,10.7,0.0,0.323
0.9659,0.2588,10.9,0.0,0.323
1.0,0.0,10.6,0.0,0.324
0.9659,-0.2588,10.1,0.0,0.324
0.866,-0.5,9.6,0.0,0.323
0.7071,-0.7071,9.4,0.0,0.324
0.5,-0.866,9.3,0.0,0.324
0.2588,-0.9659,9.3,0.0,0.324
0.0,-1.0,8.9,0.0,0.324
-0.2588,-0.9659,8.7,0.0,0.324
-0.5,-0.866,8.4,0.0,0.324
-0.7071,-0.7071,8.2,0.0,0.325
-0.866,-0.5,8.7,0.0,0.325
-0.9659,-0.2588,9.8,0.0,0.325
-1.0,-0.0,11.6,0.0,0.325
